date,gasUsedApproveAmoy,gasUsedDepositAmoy,gasUsedExecuteBridgeAvalanche,timeAproveAmoy,timeDepositAmoy,timeExecuteBridgeAvalanche,priceAmoy,priceAvax(USD),full Time(ms),gasPriceAmoy,gasPriceAvax
2026-01-20T13:21:18.121Z,46952,50052,101674,10141,5540,6059,,12.38,22106,36717679754,2
2026-01-20T23:15:09.163Z,46952,50052,84574,5914,5445,6552,,12.12,18324,120000000252,2
2026-01-29T03:56:18.931Z,27052,67152,101674,25763677,5882,6781,,11.77,25777108,32050520180,6576889
2026-01-29T19:44:09.496Z,46952,50052,84574,5982,4844863,7885,,10.99,4859554,297706527611,447643790
2026-01-30T02:45:13.539Z,46952,50052,84574,6082,6137,7819,0.110135,10.86,21864,419395285063,619642611
2026-01-30T02:48:11.926Z,46952,50052,84574,6171,6143,6890,0.110389,10.9,21925,421175441616,454968089
2026-01-30T03:04:33.252Z,46952,50052,84574,238655,10845,10540,0.110231,10.9,263172,579286361612,169694894
2026-01-30T03:13:20.513Z,46952,50052,84574,6140,6138,8087,0.110515,10.93,22664,536838268325,128870830
2026-01-30T03:21:15.661Z,46952,50052,84574,45850,10539,5929,0.110593,10.93,65123,591359536323,74130852
2026-01-30T03:37:09.225Z,46952,50052,84574,401099,10028,5628,0.110368,10.91,419785,585565853031,25988284
2026-01-30T03:40:39.344Z,46952,50052,84574,10537,10537,5523,0.110287,10.92,29379,521990697153,24833357
2026-01-30T03:59:22.765Z,46952,50052,84574,526211,10749,10749,,10.9,550840,570495970089,26760925
2026-01-30T04:00:39.668Z,46952,50052,84574,10332,10744,5726,0.10999,10.9,29803,541887039038,24511955
2026-01-30T04:11:39.333Z,46952,50052,84574,65011,10643,10854,0.110209,10.92,89266,600531677939,40301108
2026-01-30T04:31:57.571Z,27052,50052,84574,89271,10438,5055,,10.97,107484,571078989269,55946258
2026-01-30T04:40:38.891Z,46952,50052,84574,10358,10540,3785,0.11135,10.96,27628,460352850516,50557337
2026-01-30T04:50:39.986Z,46952,50052,84574,10281,10078,5933,0.111458,10.96,29057,408182537283,45358793
2026-01-30T05:00:56.242Z,46952,50052,84574,20471,10742,10645,0.11144,10.97,44946,564786198704,33260525
2026-01-30T05:10:45.457Z,46952,50052,84574,10219,10441,11462,,10.96,34910,584247330233,41956992
2026-01-30T05:20:43.992Z,46952,50052,84574,10732,10129,10747,0.111022,10.95,34403,549915362582,25336552
2026-01-30T05:30:39.889Z,46952,50052,84574,10015,10643,5522,0.111105,10.95,28972,605897910693,26165882
2026-01-30T05:41:55.234Z,46952,50052,84574,84769,10231,5627,,10.95,103782,582353225572,25181513
2026-01-30T05:50:44.142Z,46952,50052,84574,10116,10540,10544,0.11091,10.94,34295,597067339068,25590225
2026-01-30T06:10:58.914Z,27052,50052,84574,25581,10436,10543,0.110555,10.92,49245,594572273834,38389522
2026-01-30T06:26:05.775Z,46952,50052,84574,336988,10236,5525,0.110039,10.87,355731,582203032394,24752100
2026-01-30T06:30:49.034Z,46952,50052,84574,10936,15658,10543,0.10986,10.83,39970,584519675356,154666585
2026-01-30T06:44:31.266Z,46952,50052,84574,238098,10334,10437,,10.8,261622,567685313140,96583444
2026-01-30T06:52:14.318Z,46952,50052,84574,100620,10351,10851,0.109192,10.77,125123,581860608182,807308097
2026-01-30T07:00:53.590Z,46952,50052,84574,25384,10337,5319,0.109357,10.79,44327,428333471278,458630066
2026-01-30T07:25:01.347Z,46952,50052,84574,870505,10429,5621,0.111146,10.94,889944,567707062038,460040929
2026-01-30T07:30:55.861Z,46952,50052,84574,20367,10541,10234,0.111025,10.93,44540,455658253984,207770657
2026-01-30T07:49:57.771Z,46952,50052,84574,562492,10541,10749,,10.89,586657,596676633432,56665800
2026-01-30T07:52:39.566Z,46952,50052,84574,11243,129945,5629,0.110795,10.91,150314,594753398295,59072530
2026-01-30T08:00:59.908Z,46952,50052,84574,30393,10335,5520,0.11105,10.93,49043,386924447824,26711022
2026-01-30T08:37:12.879Z,46952,50052,84574,1602023,10538,5417,0.111076,10.89,1621100,594756402154,53131172
2026-01-30T08:40:39.218Z,46952,50052,84574,10322,10742,5321,0.110826,10.88,29180,489985128743,35066936
2026-01-30T09:30:11.699Z,27052,50052,84574,1782233,10262,5626,0.11057,10.83,1800736,595664178418,42318751
2026-01-30T09:34:13.167Z,46952,50052,84574,224051,10438,5421,0.110553,10.83,243305,591882295283,38369370
2026-01-30T09:40:46.909Z,46952,50052,84574,10639,10544,10744,0.110789,10.85,35054,522125396696,29048805
2026-01-30T10:00:15.408Z,46952,50052,84574,579673,10538,10487,0.11054,10.83,603929,585077436906,64850765
2026-01-30T10:18:33.248Z,46952,50052,84574,478501,10536,11056,,10.83,502885,573543360973,25913494
2026-01-30T10:25:11.240Z,46952,50052,84574,10387,274372,11359,0.110926,10.86,299720,588607597744,37030898
2026-01-30T10:30:42.037Z,46952,50052,84574,15143,10641,4298,0.111107,10.88,32869,589399694338,25081388
2026-01-30T10:43:31.270Z,46952,50052,84574,177952,10535,10439,,10.87,201581,577757398780,25296886
2026-01-30T10:50:41.460Z,46952,50052,84574,10583,10391,5522,0.110614,10.86,29672,519392194065,19105918
2026-01-30T11:00:48.084Z,46952,50052,84574,11506,13410,8142,0.110499,10.89,36960,546284329733,8891714
2026-01-30T11:29:26.895Z,46952,50052,84574,1137915,9374,9069,,10.92,1158628,586919688344,7494448
