date,gasUsedApproveAvalanche,gasUsedDepositAvalanche,gasUsedExecuteBridgeAmoy,timeAproveAvalanche,timeDepositAvalanche,timeExecuteBridgeAmoy,priceAvalanche,priceAmoy,full Time(ms),gasPriceAvalanche,gasPriceAmoy
2026-01-20T21:27:51.277Z,46952,54864,101686,5835,5352,5973,12.22,,17510,2,146761282179
2026-01-20T23:13:09.675Z,46952,54864,84586,5937,5731,6239,12.12,,18427,2,120000000252
2026-01-29T03:56:03.166Z,46952,71964,101686,15447,8406,116943373,11.77,,116968123,6779173,32083267946
2026-01-29T19:44:02.839Z,46952,54864,84586,11135,5941,4850680,10.99,,4868324,457860389,301508344089
2026-01-29T20:32:39.867Z,46952,54864,84586,6639,6212,6890,10.98,,20320,31978226,417602000511
2026-01-29T20:52:38.398Z,46952,54864,84586,7006,6138,226351,10.99,,240163,48359474,604798711672
2026-01-29T21:06:34.004Z,46952,54864,84586,6653,6140,181802,11.03,,195172,30014679,599097929220
2026-01-29T21:10:59.397Z,46952,54864,84586,6962,6039,6493,11.03,,20069,29161112,429890167023
2026-01-30T02:11:52.299Z,46952,54864,84586,8173,6340,1011431, , ,1026530,645790293,605025446910
2026-01-30T02:34:25.015Z,46952,54864,84586,7013,6126,166508,10.8,0.109167,180472,767648318,605391985773
2026-01-30T02:46:22.713Z,46952,54864,84586,8104,6067,6652,10.89,0.110303,21461,575342832,437472087299
2026-01-30T03:05:37.099Z,46952,54864,84586,10207,5833,10389,10.9,0.110261,28231,178733748,533353681419
2026-01-30T03:15:33.330Z,46952,54864,84586,5421,5625,10644,10.94,0.110598,23644,116625579,604587507258
2026-01-30T03:25:44.975Z,46952,54864,84586,10628,10438,10849,10.92,0.110584,33769,59663389,552873952622
2026-01-30T03:36:52.709Z,46952,54864,84586,5405,10545,83964,10.91,0.110379,101867,25192758,599782218619
2026-01-30T03:45:45.001Z,46952,54864,84586,10540,10386,10847,10.91,0.110163,33579,25016626,501407804815
2026-01-30T03:59:01.466Z,46952,54864,84586,5422,10134,212268,10.9,0.109944,229677,25390297,597268928814
2026-01-30T04:05:43.899Z,46952,54864,84586,15559,5627,10642,10.91,0.1101,33785,29134388,586888611540
2026-01-30T04:15:39.352Z,46952,54864,84586,5523,10645,10544,10.93,0.110376,28562,48598130,529131052211
2026-01-30T04:31:41.905Z,46952,54864,84586,5728,10640,374574,10.97,0.111179,392798,56246206,596582283814
2026-01-30T04:35:41.316Z,46952,54864,84586,5524,10952,10852,10.98,0.111303,29178,40169032,424077133020
2026-01-30T04:45:39.951Z,46952,54864,84586,5405,10847,10337,10.96,0.111385,28445,51573866,451140467060
2026-01-30T04:55:43.917Z,46952,54864,84586,10950,10537,10934,10.97,0.111484,34194,33351209,414140360378
2026-01-30T05:10:12.076Z,46952,54864,84586,5628,10693,284052,10.96,0.111151,302179,47200201,600340780235
2026-01-30T05:17:45.303Z,46952,54864,84586,10542,5621,134549,10.96,0.111063,152775,24458157,603397246983
2026-01-30T05:28:59.170Z,46952,54864,84586,10644,10335,204905,10.95,0.111054,227741,27269659,609380805772
2026-01-30T05:41:37.827Z,46952,54864,84586,5931,10543,368540,10.95,0.111145,386865,25550804,598544069486
2026-01-30T05:45:45.127Z,46952,54864,84586,10526,10231,10747,10.94,0.111028,33564,25801444,566087271166
2026-01-30T06:04:16.788Z,46952,54864,84586,10627,10540,522435,10.94,0.110832,545660,25566325,599081634526
2026-01-30T06:05:39.935Z,46952,54864,84586,10525,5422,10647,10.93,0.11082,28649,26077247,546501613675
2026-01-30T06:25:49.105Z,46952,54864,84586,5731,10542,620029,10.87,0.11004,638159,26136411,602646998942
2026-01-30T06:44:10.684Z,46952,54864,84586,5536,10539,520997,10.8,0.109277,539441,81130666,597048506411
2026-01-30T06:45:44.484Z,46952,54864,84586,10848,10641,10951,10.79,0.109262,34399,131961797,552864353342
2026-01-30T06:55:39.836Z,46952,54864,84586,10627,5420,10443,10.78,0.109243,28649,697336241,436470016658
2026-01-30T07:05:39.190Z,46952,54864,84586,10422,5418,10542,10.8,0.109602,28650,291809962,576904948545
2026-01-30T07:24:45.473Z,46952,54864,84586,10733,10744,549682,10.94,0.111155,572913,474718910,589326731371
2026-01-30T07:49:37.799Z,46952,54864,84586,5732,10131,848012,10.89,0.110631,865834,46416122,601553438820
2026-01-30T07:55:39.386Z,46952,54864,84586,10602,5317,11054,10.92,0.110918,29147,36212884,433029798436
2026-01-30T08:36:56.083Z,46952,54864,84586,10746,5519,1887978,10.89,0.11111,1906104,52344952,598764430073
2026-01-30T08:45:39.723Z,46952,54864,84586,10597,5419,10541,10.86,0.110603,28414,30233524,460780051674
2026-01-30T09:29:53.984Z,46952,54864,84586,5168,9932,2067902,10.84,0.11057,2084849,41695989,600529718754
2026-01-30T09:35:40.007Z,46952,54864,84586,5610,10438,10849,10.83,0.11059,28753,31865195,578535423388
2026-01-30T09:59:53.187Z,46952,54864,84586,15560,10536,855249,10.83,0.11054,883202,66274587,591464628113
2026-01-30T10:05:43.344Z,46952,54864,84586,10851,10536,10441,10.84,0.110638,33683,39702446,560996581137
2026-01-30T10:18:07.239Z,46952,54864,84586,10320,10441,153085,10.83,0.11072,176516,26600826,602289705558
2026-01-30T10:25:44.975Z,46952,54864,84586,10220,10231,11052,10.86,,33668,32129781,569688475042
2026-01-30T10:43:10.070Z,46952,54864,84586,10339,10418,455576,10.87,0.110794,478309,24983525,597026001790
2026-01-30T10:46:28.218Z,46952,54864,84586,10731,10232,54778,10.86,0.11058,77495,24496201,610145796188
2026-01-30T10:55:45.589Z,46952,54864,84586,11037,10542,11159,10.88,0.110493,34588,12666901,567723133522
2026-01-30T11:29:08.579Z,46952,54864,84586,24528,9351,1404778,10.92,0.110668,1440134,7631649,593838365220
